"Name";"Description"
"Enterprise Software Categorization";"A placeholder to discuss, track & log our decision regarding software domain and capabilities"
"Domain – API & Integration Tools";"Tools enabling API design, testing, documentation, and system-to-system integration."
"Capability – API Design & Modeling";"Tools to design, map, and document API structures. Examples: Swagger, Stoplight."
"Capability – API Testing & Validation";"Tools for validating API functionality and correctness. Examples: Postman, SoapUI."
"Capability – API Mocking / Sandbox";"Tools that simulate API behavior for testing or development. Examples: WireMock, Mockoon."
"Capability – API Documentation / Spec Management";"Tools managing API documentation and specifications. Examples: OpenAPI, SwaggerHub."
"Capability – Integration / Messaging / Middleware Tools";"Middleware and messaging systems enabling system-to-system communication. Examples: RabbitMQ, MuleSoft."
"Domain – Build & CI/CD";"Tools that automate building, testing, packaging, and delivering software."
"Capability – Build Automation";"Systems that compile and package applications automatically. Examples: Maven, Gradle, Ant."
"Capability – Dependency Management";"Tools that handle build-time and runtime library dependencies. Examples: npm, Composer, Ivy."
"Capability – Continuous Integration / Continuous Delivery";"Automated code integration, testing, and deployment pipelines. Examples: Jenkins, GitLab CI, CircleCI."
"Capability – Artifact Repository & Release Management";"Repositories for storing builds, binaries, and release artifacts. Examples: Nexus, Artifactory."
"Capability – Deployment Automation & Configuration";"Tools that automate application deployment and environment configuration. Examples: Ansible, Terraform, Octopus Deploy."
"Domain – Custom / Internal Applications";"Custom-built tools and scripts tailored for internal business processes."
"Capability – Internal Business Applications";"Business-specific internal software solutions. Examples: ERP, CRM."
"Capability – Custom-built Tools & Scripts";"In-house utilities built to support workflows. Examples: Python automation scripts, VBA macros."
"Capability – Automation / Integration Scripts";"Scripts used to automate internal processes. Examples: Jenkins pipelines, shell scripts."
"Capability – Internal Data & Metadata Management Tools";"Tools used to manage internal datasets or metadata. Examples: Custom SQL dashboards, metadata catalogs."
"Capability – Domain-Specific / Business-Specific Tools";"Tools designed for niche business use cases. Examples: Lab management software, specialized financial apps."
"Domain – Databases & Data Management";"Tools that support storage, design, extraction, and transformation of data."
"Capability – Database Clients & Admin Tools";"Tools used to manage and administer databases. Examples: pgAdmin, SQL Server Management Studio."
"Capability – Data Modeling & Schema Design";"Tools for designing database schemas and data models. Examples: ER/Studio, dbForge Studio."
"Capability – ETL / Data Transformation & Pipelines";"Tools for extracting, transforming, and loading data. Examples: Talend, Apache Nifi."
"Capability – NoSQL / Document / In-memory Databases";"Non-relational databases for high-performance or flexible storage. Examples: MongoDB, Redis, Cassandra."
"Capability – Cloud / On-Prem Data Storage Management";"Tools for managing structured and unstructured data storage solutions. Examples: AWS S3, Azure Blob Storage."
"Domain – Development Tools";"Tools that support software development activities including editing, debugging, scripting, and managing dependencies."
"Capability – Code Editing / IDE";"Tools for writing, navigating, and structuring code efficiently. Examples: Visual Studio, IntelliJ IDEA, Eclipse."
"Capability – Debugging & Diagnostics";"Tools to identify, troubleshoot, and analyze software defects or runtime behavior. Examples: GDB, Chrome DevTools, JetBrains Debugger."
"Capability – Scripting / Automation Tools";"Tools enabling task automation, workflow scripting, and repetitive action reduction. Examples: PowerShell, Bash, Ansible."
"Capability – Language Runtimes / Interpreters";"Execution environments for programming languages. Examples: Node.js, Python interpreter, Java JVM."
"Capability – Package & Dependency Management";"Tools used to install, update, and manage external software dependencies. Examples: npm, Maven, pip."
"Domain – Infrastructure & Hosting";"Tools enabling cloud, container, virtual, and OS hosting infrastructures."
"Capability – Containerization & Container Orchestration";"Tools deploying and managing containers and clusters. Examples: Docker, Kubernetes."
"Capability – Virtualization & VM Management";"Systems managing virtual machines. Examples: VMware vSphere, Hyper-V."
